adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/cRLeBlvfSttbsgOcQ0KG8Dorzqk.jpg,"[28, 18, 27, 878, 53]",72190,en,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",89.511,/kocvIT68A1NoqxmQVXUqlGLAG3Q.jpg,2013-06-19,World War Z,False,6.816,15091
False,/3CzVLgcSS1t8fv8R9Zh6GDPFkeO.jpg,"[27, 53]",713704,en,Evil Dead Rise,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",80.286,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,2023-04-12,Evil Dead Rise,False,6.958,2906
False,/kjQBrc00fB2RjHZB3PGR4w9ibpz.jpg,"[28, 12, 878]",670292,en,The Creator,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",115.303,/vBZ0qvaRxqEhZwl6LWmruJqWE8Z.jpg,2023-09-27,The Creator,False,7.112,2815
False,/620hnMVLu6RSZW6a5rwO8gqpt0t.jpg,"[16, 35, 14, 12, 10751]",508943,en,Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,83.25,/jTswp6KyDYKtvC52GbHagrZbGvD.jpg,2021-06-17,Luca,False,7.825,8180
False,/3Nn5BOM1EVw1IYrv6MsbOS6N1Ol.jpg,"[14, 18, 10749]",162,en,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,60.785,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,1990-12-07,Edward Scissorhands,False,7.717,12635
False,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,"[28, 12, 878]",284054,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",101.685,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,Black Panther,False,7.4,21870
False,/4f0Kj0QwPui5ydu1UavsnvP1m1o.jpg,"[28, 878, 18]",39254,en,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",111.926,/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,2011-09-28,Real Steel,False,7.018,8107
False,/4f0Kj0QwPui5ydu1UavsnvP1m1o.jpg,"[28, 878, 18]",39254,en,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",111.926,/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,2011-09-28,Real Steel,False,7.018,8107
False,/qi6Edc1OPcyENecGtz8TF0DUr9e.jpg,"[27, 9648, 53]",423108,en,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",87.664,/xbSuFiJbbBWCkyCCKIMfuDCA4yV.jpg,2021-05-25,The Conjuring: The Devil Made Me Do It,False,7.445,5765
False,/wRxLAw4l17LqiFcPLkobriPTZAw.jpg,"[28, 53]",697843,en,Extraction 2,"Back from the brink of death, highly skilled commando Tyler Rake takes on another dangerous mission: saving the imprisoned family of a ruthless gangster.",81.188,/7gKI9hpEMcZUQpNgKrkDzJpbnNS.jpg,2023-06-09,Extraction 2,False,7.46,2326
False,/jjp0pOGBX7b2ZCUwI6U837HiYGS.jpg,[27],10014,en,A Nightmare on Elm Street Part 2: Freddy's Revenge,"Jesse Walsh moves with his family into the home of the lone survivor from a series of attacks by dream-stalking monster, Freddy Krueger. There, he is bedeviled by nightmares and inexplicably violent impulses.",60.493,/53kxYw0G3o55yJ23K7s7KMaOyAM.jpg,1985-11-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,False,5.792,1795
False,/xGzoTqbOlCR4mAzeRs4PB53i8c7.jpg,"[18, 10749]",296096,en,Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",88.36,/Ia3dzj5LnCj1ZBdlVeJrbKJQxG.jpg,2016-06-01,Me Before You,False,7.929,12134
False,/5iMAyVYs4rnQKQ9HDdmuqlb0VtS.jpg,"[28, 18, 10751]",1885,en,The Karate Kid,"Daniel moves to Los Angeles with his mother, Lucille, and soon strikes up a relationship with Ali. He quickly finds himself the target of bullying by a group of high school students, led by Ali's ex-boyfriend Johnny, who study karate at the Cobra Kai dojo under ruthless sensei, John Kreese. Fortunately, Daniel befriends Mr. Miyagi, an unassuming repairman who just happens to be a martial arts master himself. Miyagi takes Daniel under his wing, training him in a more compassionate form of karate for self-defense and later, preparing him to compete against the brutal Cobra Kai.",72.592,/1mp4ViklKvA0WXXsNvNx0RBuiit.jpg,1984-06-22,The Karate Kid,False,7.2,4047
